"videoId","title","filename","publishedAt","bang_count"
"TpRLuboKQKE","We need to talk about my future in the RuneScape community.","We need to talk about my future in the RuneScape community..txt","2025-02-01T19:45:17Z",0
"Inatjg5ISfw","We went to Zamorak, the Lord of Chaos | Style Locked Group Ironman (#11)","We went to Zamorak, the Lord of Chaos  Style Locked Group Ironman (#11).txt","2025-01-17T18:56:26Z",9
"mNhPguu_Vgg","CRUSH the Gate of Elidinis with this Beginner Guide (Low Requirements)","CRUSH the Gate of Elidinis with this Beginner Guide (Low Requirements).txt","2025-01-12T17:01:22Z",0
"5jjZOISIXjQ","Welcome to Competitive Group Ironman Raids... (Locked In Ep 10)","Welcome to Competitive Group Ironman Raids... (Locked In Ep 10).txt","2024-12-31T15:00:19Z",11
"QLckJ-QjyUw","The End of my Hardcore Ironman.. (Series Finale)","The End of my Hardcore Ironman.. (Series Finale).txt","2024-12-25T19:13:33Z",14
"GUH6OOS0gOo","Pure PvM Talent","Pure PvM Talent.txt","2024-12-24T17:20:18Z",0
"3nP7zKUa7WA","The 25 Hour Grind for a HUGE upgrade! | Style Locked Group Ironman (#9)","The 25 Hour Grind for a HUGE upgrade!  Style Locked Group Ironman (#9).txt","2024-12-15T20:12:45Z",35
"3wg2OqnEp1E","First Araxxor Kill | Style Locked Group Ironman (#8) | RuneScape 3","First Araxxor Kill  Style Locked Group Ironman (#8)  RuneScape 3.txt","2024-12-03T18:12:45Z",10
"GG812ZSjrBo","Finally.. It's time to take on some Bosses! | Style Locked Group Ironman (#7) | RuneScape 3","Finally.. It's time to take on some Bosses!  Style Locked Group Ironman (#7)  RuneScape 3.txt","2024-11-25T18:38:25Z",2
"SiMKsxaNvbo","I got Insanely Lucky on my new Style Locked Group Ironman (#6) | RuneScape 3","I got Insanely Lucky on my new Style Locked Group Ironman (#6)  RuneScape 3.txt","2024-11-18T18:13:57Z",4
