"videoId","title","filename","publishedAt","bang_count"
"CbF0qKB2Ivk","[Locked In] Day 89 | Hardmode Nakatra! | Nominated for 3 Golden Gnomes!? | The RS Guy VODS","[Locked In] Day 89  Hardmode Nakatra!  Nominated for 3 Golden Gnomes!  The RS Guy VODS.txt","2025-01-31T17:00:11Z",6
"iq9IglijLm8","[Locked In] Day 88 | Transmutation is SICK! | Magic locked GIM with a T100 Orb! | The RS Guy VODS","[Locked In] Day 88  Transmutation is SICK!  Magic locked GIM with a T100 Orb!  The RS Guy VODS.txt","2025-01-30T17:00:50Z",26
"Rr1IvC4pv0Y","[Locked In] Day 87 | Transmutation is SICK! | Magic locked GIM with a T100 Orb! | The RS Guy VODS","[Locked In] Day 87  Transmutation is SICK!  Magic locked GIM with a T100 Orb!  The RS Guy VODS.txt","2025-01-28T19:20:36Z",14
"KJ61BsiC_ME","[Locked In] Day 86 | Magic locked Group Ironman with a T100! | The RS Guy VODS","[Locked In] Day 86  Magic locked Group Ironman with a T100!  The RS Guy VODS.txt","2025-01-27T17:00:22Z",13
"yrvHUavrm0A","[Locked In] Day 85 | Attempting the 4,000,000 exp slayer task Necromancers Are Back | The RS Guy VOD","[Locked In] Day 85  Attempting the 4,000,000 exp slayer task Necromancers Are Back  The RS Guy VOD.txt","2025-01-26T17:01:10Z",14
"SeLnFI9A--g","[Locked In] Day 84 | Necromancy Is Gone! | The RS Guy VODS","[Locked In] Day 84  Necromancy Is Gone!  The RS Guy VODS.txt","2025-01-25T17:00:34Z",20
"IFXWflfiX4g","[Locked In] Day 83 | Hardmode Sanctum of Rebirth + Araxxi + More! | The RS Guy VODS","[Locked In] Day 83  Hardmode Sanctum of Rebirth + Araxxi + More!  The RS Guy VODS.txt","2025-01-24T17:00:17Z",13
"iC4TEzRQ7LI","[Locked In] Day 82 | Hardmode Sanctum of Rebirth + Helwyr + More! | The RS Guy VODS","[Locked In] Day 82  Hardmode Sanctum of Rebirth + Helwyr + More!  The RS Guy VODS.txt","2025-01-22T17:00:52Z",14
"AeCDVExcOg0","[Locked In] Day 81 | Hardmode Sanctum of Rebirth for T95's! | The RS Guy VODS","[Locked In] Day 81  Hardmode Sanctum of Rebirth for T95's!  The RS Guy VODS.txt","2025-01-20T16:56:22Z",5
"eMDFehQ9jg8","[Locked In] Day 80 | Hardmode Sanctum of Rebirth for T95's! | The RS Guy VODS","[Locked In] Day 80  Hardmode Sanctum of Rebirth for T95's!  The RS Guy VODS.txt","2025-01-18T17:00:42Z",10
"4Z6uBawgLGc","[Locked In] Day 79 | Hardmode Sanctum of Rebirth for T95's! | The RS Guy VODS","[Locked In] Day 79  Hardmode Sanctum of Rebirth for T95's!  The RS Guy VODS.txt","2025-01-17T17:00:04Z",4
"_78qkLETqAA","New Desert Quest! Is the new t80 Keris INSANE? | The RS Guy VODS","New Desert Quest! Is the new t80 Keris INSANE  The RS Guy VODS.txt","2025-01-14T17:00:39Z",6
"1t95wH8l8Z4","[Locked In] Day 77 | Road to Hardmode Sanctum of Rebirth | The RS Guy VODS","[Locked In] Day 77  Road to Hardmode Sanctum of Rebirth  The RS Guy VODS.txt","2025-01-13T17:00:02Z",1
"sujWZK_h36E","[Locked In] Day 67 | GIM Sanctum of Rebirth and 750k Wrapping paper opening! | The RS Guy VODS","[Locked In] Day 67  GIM Sanctum of Rebirth and 750k Wrapping paper opening!  The RS Guy VODS.txt","2025-01-05T17:00:51Z",2
"ZIgdopLNswM","[Locked In] Day 66 | Happy new Year! 95 Prayer done! | The RS Guy VODS","[Locked In] Day 66  Happy new Year! 95 Prayer done!  The RS Guy VODS.txt","2025-01-03T17:00:39Z",12
"QEqBC7OFdXM","[Locked In] Day 61 | Unlocking Ancient Curses and Soulsplit today! | The RS Guy VODS","[Locked In] Day 61  Unlocking Ancient Curses and Soulsplit today!  The RS Guy VODS.txt","2024-12-30T17:00:32Z",16
